Wavelength,Absorption
210,
211,
212,
213,
214,
215,
216,
217,8.857503426683203e-05
218,7.264276042489607e-05
219,4.8899358175611126e-05
220,3.195121414613739e-05
221,2.6137243215242177e-05
222,2.28846196155454e-05
223,2.0524351353922887e-05
224,1.8653565978364326e-05
225,1.6805102879623693e-05
226,1.5785242696365316e-05
227,1.530883173560595e-05
228,1.5085573251783565e-05
229,1.5444586894301983e-05
230,1.635062132361028e-05
231,1.7547854318464035e-05
232,1.980875273260385e-05
233,2.2099798125662124e-05
234,2.416623081677102e-05
235,2.6382252525595882e-05
236,2.8766093111538183e-05
237,3.149203003047433e-05
238,3.388378758392818e-05
239,3.610783043088963e-05
240,3.943066503193783e-05
241,4.230835771759333e-05
242,4.5980080576395196e-05
243,4.9266372122140616e-05
244,5.28703424063447e-05
245,5.6917787875939244e-05
246,6.03667939381696e-05
247,6.407743494252783e-05
248,6.765257079769028e-05
249,7.090394434988525e-05
250,7.424210691434832e-05
251,7.714813996265185e-05
252,8.046805778619596e-05
253,8.344754600674825e-05
254,8.730981777307529e-05
255,8.98096627671851e-05
256,9.2503515133575e-05
257,9.47771729611439e-05
258,9.62882422865402e-05
259,9.702743704260761e-05
260,9.702868709010941e-05
261,9.614448682383265e-05
262,9.416024475596736e-05
263,9.183473972010936e-05
264,8.879337414821755e-05
265,8.544283016087946e-05
266,8.191498776953541e-05
267,7.745994347785227e-05
268,7.35237939041683e-05
269,6.878605136995197e-05
270,6.488371558119203e-05
271,6.088906378442392e-05
272,5.61383832585639e-05
273,5.107662841187959e-05
274,4.6436764597054636e-05
275,4.06027929061305e-05
276,3.520633784083806e-05
277,2.9692065798500518e-05
278,2.4457179372816286e-05
279,2.0348273234382957e-05
280,1.6455625313762004e-05
281,1.323612797286296e-05
282,1.0362893789963983e-05
283,8.024992449713143e-06
284,5.941475776079489e-06
285,4.002495844842051e-06
286,2.3893765105931336e-06
287,8.154476536775139e-07
288,1.1000418015884454e-07
289,1.1125422766064478e-07
290,1.1250427516244638e-07
291,1.1375432266425015e-07
292,1.1500437016605744e-07
293,1.1625441766786857e-07
294,1.1750446516967549e-07
295,1.1875451267147922e-07
296,1.2000456017327903e-07
297,1.212546076750791e-07
298,1.2250465517688906e-07
299,1.23754702678697e-07
300,1.250047501805023e-07
301,1.2625479768230642e-07
302,1.468805814620852e-07
303,2.4740523473223435e-07
304,3.050115904404154e-07
305,3.062616379422217e-07
306,2.0318953938430674e-07
307,1.655832152390941e-07
308,2.5847136037321957e-07
309,3.112618279494471e-07
310,3.1251187545125517e-07
311,3.1376192295305856e-07
312,3.1501197045486105e-07
313,3.1626201795666523e-07
314,3.175120654584693e-07
315,3.1876211296027306e-07
316,3.200121604620783e-07
317,3.2126220796388815e-07
318,3.225122554656935e-07
319,3.237623029674938e-07
320,3.2485494679645904e-07
