Wavelength,Absorption
210,0.00010939438538448442
211,0.00010666309874230668
212,0.0001031160548487281
213,9.997815659944372e-05
214,9.660611331403412e-05
215,9.296030954446797e-05
216,8.925892589258922e-05
217,8.676116163739924e-05
218,8.334346948208338e-05
219,7.92288265988762e-05
220,7.574743960882579e-05
221,7.302664388060426e-05
222,7.034255549107031e-05
223,6.748394434038001e-05
224,6.516910136959642e-05
225,6.300915142189895e-05
226,6.065610784051384e-05
227,5.83452559783005e-05
228,5.635445301286886e-05
229,5.468025084361719e-05
230,5.3025814164428e-05
231,5.155513138186405e-05
232,5.0314683978050324e-05
233,4.867651038752525e-05
234,4.741018865400048e-05
235,4.597757073004601e-05
236,4.453012868854456e-05
237,4.339475332668403e-05
238,4.231669788600482e-05
239,4.130394458364756e-05
240,4.0422961215040424e-05
241,3.961243132035211e-05
242,3.8906777655652536e-05
243,3.8513126496924855e-05
244,3.809326878633808e-05
245,3.76933424300661e-05
246,3.743141513168515e-05
247,3.732180650497481e-05
248,3.7358465576287345e-05
249,3.768197765722517e-05
250,3.7959416334753856e-05
251,3.831700737641331e-05
252,3.912350694528911e-05
253,4.020334465879021e-05
254,4.15014474420415e-05
255,4.2859322787315564e-05
256,4.4046357952748596e-05
257,4.542717785292042e-05
258,4.677617254968739e-05
259,4.7836287007079074e-05
260,4.856228866129856e-05
261,4.937845135864938e-05
262,5.0218613337425206e-05
263,5.088888566611338e-05
264,5.155669129566518e-05
265,5.221683101971128e-05
266,5.253363174155251e-05
267,5.264661081492761e-05
268,5.25310253033025e-05
269,5.23255510879273e-05
270,5.1647363753574356e-05
271,5.070304327730068e-05
272,4.928524947089305e-05
273,4.801892773736831e-05
274,4.5812351505420814e-05
275,4.3830517221606336e-05
276,4.169084862154166e-05
277,3.9310822974189327e-05
278,3.701707043291197e-05
279,3.437631407928441e-05
280,3.1571569319094126e-05
281,2.8983158933653995e-05
282,2.6149743352713646e-05
283,2.3027013126023057e-05
284,1.98384703335199e-05
285,1.6594142522360342e-05
286,1.2971736362825623e-05
287,9.616671126572157e-06
288,6.720266621256707e-06
289,2.7595664971902916e-06
290,1.3683800812513162e-07
291,1.3835843043762984e-07
292,1.3987885275013058e-07
293,1.413992750626363e-07
294,1.4291969737513784e-07
295,1.4444011968763773e-07
296,1.4596054200013804e-07
297,1.4748096431263846e-07
298,1.4900138662513887e-07
299,1.505218089376393e-07
300,1.520422312501399e-07
301,1.535626535626405e-07
302,1.550830758751411e-07
303,1.5660349818764172e-07
304,1.581239205001447e-07
305,1.5964434281265087e-07
306,1.61164765125157e-07
307,1.626851874376555e-07
308,1.642056097501535e-07
309,1.6572603206265147e-07
310,1.6724645437515187e-07
311,1.6876687668765572e-07
312,1.702872990001589e-07
313,1.7180772131265926e-07
314,1.7332814362515965e-07
315,1.7484856593766004e-07
316,1.7636898825016286e-07
317,1.778894105626658e-07
318,1.794098328751687e-07
319,1.809302551876716e-07
320,1.824506775001745e-07
