Wavelength,Absorption
210,6.960700858338658e-05
211,6.64115800608391e-05
212,6.385007716642731e-05
213,6.075039879752712e-05
214,5.83979069388981e-05
215,5.522026857135704e-05
216,5.192750647822445e-05
217,4.887113921968013e-05
218,4.46784374528701e-05
219,3.846082484919902e-05
220,3.328528687491179e-05
221,3.0275527959641016e-05
222,2.7327913502068214e-05
223,2.5278934727753655e-05
224,2.3801923408222612e-05
225,2.384067055211102e-05
226,2.5062993914313948e-05
227,2.8849111468379494e-05
228,3.2401553939302906e-05
229,3.6026274736325646e-05
230,3.938516777215244e-05
231,4.175928724330763e-05
232,4.479318860977035e-05
233,4.79333838238424e-05
234,5.044095740019766e-05
235,5.3346248054446226e-05
236,5.61437173294515e-05
237,5.8521972313079244e-05
238,6.0768337980010046e-05
239,6.279850203541722e-05
240,6.439583707498743e-05
241,6.531203671083241e-05
242,6.637832830514626e-05
243,6.714475532711488e-05
244,6.758634502960578e-05
245,6.785761229369381e-05
246,6.79589243656603e-05
247,6.773179052425397e-05
248,6.750465668284765e-05
249,6.691147410230318e-05
250,6.617937662402697e-05
251,6.480068618211281e-05
252,6.312803904281435e-05
253,6.106810674897752e-05
254,5.874737637127636e-05
255,5.6251911277386044e-05
256,5.326540064844839e-05
257,5.094794887523003e-05
258,4.8631391266870685e-05
259,4.679537275646583e-05
260,4.553534544270996e-05
261,4.4736409141226175e-05
262,4.450833323327201e-05
263,4.435728324102571e-05
264,4.45038624089772e-05
265,4.494615466957156e-05
266,4.5403775470605345e-05
267,4.5861396271639085e-05
268,4.625921253989803e-05
269,4.665067639100755e-05
270,4.705123430517131e-05
271,4.745179221933505e-05
272,4.776692545500854e-05
273,4.8322407632273296e-05
274,4.884120066413455e-05
275,4.929882146516829e-05
276,4.979380558352302e-05
277,5.0147124892377317e-05
278,5.027861059299223e-05
279,5.010173360682855e-05
280,4.9570264368782204e-05
281,4.8383260518508303e-05
282,4.728045719245349e-05
283,4.4848235633900285e-05
284,4.228058535608329e-05
285,3.971209679871113e-05
286,3.67389986426578e-05
287,3.426216198332912e-05
288,3.195029874047937e-05
289,2.9738246650011307e-05
290,2.684171136000688e-05
291,2.4388793610655552e-05
292,2.083404121384671e-05
293,1.8608911962316328e-05
294,1.6266647114261664e-05
295,1.422420692047831e-05
296,1.2144547114440518e-05
297,1.0071872971363414e-05
298,8.05866079140738e-06
299,5.9294307210008516e-06
300,4.959421521321857e-06
301,4.382749056209008e-06
302,3.898807164207829e-06
303,3.34433624481928e-06
304,2.8579744304616886e-06
305,2.4488940074859453e-06
306,2.0239421582636064e-06
307,1.6238872118330121e-06
308,1.3083257640923127e-06
309,1.0266751234791902e-06
310,7.910875210550827e-07
311,5.112997238981264e-07
312,2.8166193057344666e-07
313,2.8277963664715143e-07
314,2.759616295975552e-07
315,2.2382064125925823e-07
316,1.716796529209613e-07
317,1.307716106233907e-07
318,1.3188931669709512e-07
319,1.330070227707991e-07
320,1.3412472884450075e-07
