Wavelength,Absorption
210,6.937717393866795e-05
211,6.746375965212697e-05
212,6.525417654590598e-05
213,6.291340107056543e-05
214,6.044600970409788e-05
215,5.773980432140977e-05
216,5.534770159899014e-05
217,5.282148574710626e-05
218,5.042787613559168e-05
219,4.825974178127067e-05
220,4.528257541499955e-05
221,4.221700488848223e-05
222,3.843009213320847e-05
223,3.464572434618427e-05
224,3.145580756396712e-05
225,2.870037713750544e-05
226,2.6106016412098386e-05
227,2.329248703941432e-05
228,2.055262780026876e-05
229,1.9277464761565935e-05
230,1.8331584895497352e-05
231,1.7588297896659663e-05
232,1.6886412295182408e-05
233,1.6304658196424005e-05
234,1.608073250710163e-05
235,1.5856806817779262e-05
236,1.5563150574251997e-05
237,1.5517106740790415e-05
238,1.5769529983311588e-05
239,1.6163639438954624e-05
240,1.6760259802048702e-05
241,1.7573919028997932e-05
242,1.892820135574475e-05
243,2.0381368658666244e-05
244,2.2038085583799618e-05
245,2.38279828022909e-05
246,2.5792583480316387e-05
247,2.7851137497477998e-05
248,2.9758141525646076e-05
249,3.186836031178271e-05
250,3.3880607387862974e-05
251,3.594700679586886e-05
252,3.834597423527723e-05
253,4.065144757794033e-05
254,4.304746821200709e-05
255,4.5377453617283895e-05
256,4.749357239247014e-05
257,4.983516642485003e-05
258,5.168237326670441e-05
259,5.32217601393321e-05
260,5.4712352507927796e-05
261,5.58911192931096e-05
262,5.689087780119417e-05
263,5.770453702814339e-05
264,5.837353490196247e-05
265,5.8806944908364294e-05
266,5.915845668839086e-05
267,5.91092316446174e-05
268,5.879144547767178e-05
269,5.817429067716516e-05
270,5.720653301386389e-05
271,5.609093278712063e-05
272,5.377498776119033e-05
273,5.169634188942744e-05
274,4.922995511568976e-05
275,4.63069410813445e-05
276,4.350020466902557e-05
277,4.0336407297790236e-05
278,3.7703417590024546e-05
279,3.470281869967669e-05
280,3.184633368599755e-05
281,2.933391636706208e-05
282,2.6481064364657995e-05
283,2.3929398830278984e-05
284,2.1152704524364117e-05
285,1.850305256062132e-05
286,1.6049579525909796e-05
287,1.3271339692717998e-05
288,1.0759113724778675e-05
289,9.342117075445162e-06
290,7.860938112801585e-06
291,6.4262122621391914e-06
292,4.359262720019202e-06
293,3.4879459588047166e-06
294,2.502723837273022e-06
295,1.914908296242021e-06
296,1.3836590535503937e-06
297,9.063100746452554e-07
298,4.948549374050939e-07
299,4.2527758906316737e-07
300,3.557002407212409e-07
301,3.228091305959649e-07
302,3.2414858756939123e-07
303,3.2548804454281755e-07
304,3.268275015162445e-07
305,3.2816695848967306e-07
306,3.2950641546310156e-07
307,3.3084587243653006e-07
308,3.3103722343273576e-07
309,2.867873055605862e-07
310,2.4253738768843667e-07
311,1.9828746981628715e-07
312,1.540375519441376e-07
313,2.40896184913309e-07
314,3.4042814155414094e-07
315,4.399600981949729e-07
316,5.26215239560729e-07
317,4.819653216885727e-07
318,4.377154038164164e-07
319,3.934654859442601e-07
320,3.492155680721038e-07
